en-CA,fr-CA
2 Cream,2 œufs avec rôties pain blé entier
2 CREAM (L),2 œufs bacon avec rôties blé
2 CREAM (M),2 œufs bacon et rôties blanc
2 CREAM (S),2 œufs frits
2 CREAM (XL),2 P Frites
2 Eggs & Brown Toast,2 Patates hachées brunes
2 Eggs & White Toast,2 Splenda
"2 Eggs, Bacon & Brown Toast",2 SPLENDA (G)
"2 Eggs, Bacon & White Toast",2 SPLENDA (M)
2 Fried Eggs,2 SPLENDA (S)
2 Fried Eggs & Brown Toast Meal,2 SPLENDA (TG)
2 Fried Eggs & White Toast Special,2 sucre
"2 Fried Eggs, Bacon, & Brown Toast Meal",2 SUCRE (G)
"2 Fried Eggs, Bacon, & White Toast Meal",2 SUCRE (M)
2 Friendship Bracelets,2 SUCRE (P)
2 Hamburger,2 SUCRE (TG)
2 Hamburger Extra Value Meal,2 tranches de fromage seulemen
2 Hamburgers,2 tranches de fromage seulement
2 Hash Browns,20 McCroquettes
2 Ketchup Packets,20 morceaux de Poulet McCroque
2 McMuffins with Egg Offer,20 morceaux de Poulet McCroquettes (portion pour 2
2 Milk,20 morceaux de Poulet McCroquettes (portion pour 2)
2 MILK (L),20 Poulet McCroquettes
2 MILK (M),250ml de lait au Chocolat
2 MILK (S),2Dollar Promo bannière
2 MILK (XL),3 Boisson à l’avoine
2 Oat Beverage,3 bouchées de patates hachées
2 Pies,3 bouchées de patates hachées brunes
2 Regular McFlurry for $6.00,3 crème
2 RMHC Cookies,3 CRÈME (G)
2 S French Fries,3 CRÈME (M)
2 S Fry,3 CRÈME (P)
2 Snack McFlurry for $5.00,3 CRÈME (TG)
2 Splenda,3 lait
2 SPLENDA (L),3 LAIT (G)
2 SPLENDA (M),3 LAIT (M)
2 SPLENDA (S),3 LAIT (P)
2 SPLENDA (XL),3 LAIT (TG)
2 Sugar,3 Poulet McCroquettes
2 SUGAR (L),3 Splenda
2 SUGAR (M),3 SPLENDA (G)
2 SUGAR (S),3 SPLENDA (M)
2 SUGAR (XL),3 SPLENDA (P)
2% Milk,3 SPLENDA (TG)
20 Chicken McNuggets,3 sucre
20 Chicken McNuggets (Serves 2,3 SUCRE (G)
20 chicken McNuggets (Serves 2),3 SUCRE (M)
20 Chicken McNuggets (Serves 2),3 SUCRE (P)
20 McNugget Sharebox,3 SUCRE (TG)
20 McNugget Sharebox (Serves 2,4 Boisson à l’avoine
20 McNugget Sharebox (Serves 2),4 bouchées de patates hachées
20 McNugget Sharebox w Pie,4 bouchées de patates hachées brunes
20 McNugget Sharebox w/ 4 Cookies,4 crème
20 McNuggets,4 CRÈME (G)
20 McNuggets Extra Value Meal (Serves 2),4 CRÈME (M)
20-piece Chicken McNuggets Mea,4 CRÈME (P)
20-piece Chicken McNuggets Meal (Serves 2),4 CRÈME (TG)
2Dollar Promo Banner,4 lait
3 Cheeseburger or Hamburger of,4 LAIT (G)
3 Cheeseburger or Hamburger offer,4 LAIT (M)
3 Chicken McNuggets,4 LAIT (P)
3 Cream,4 LAIT (TG)
3 CREAM (L),4 McCroquettes
3 CREAM (M),4 McCroquettes Offre
3 CREAM (S),4 morceaux de Poulet McCroquettes
3 CREAM (XL),4 Poulet McCroquettes
3 Grain Sesame Ginger Salad,4 Splenda
3 McNug & 2 Cookies,4 SPLENDA (G)
3 McNug & Sundae,4 SPLENDA (M)
3 McNuggets,4 SPLENDA (S)
3 McNuggets & Dessert,4 SPLENDA (TG)
3 McNuggets Pairing,4 sucre
3 Milk,4 SUCRE (G)
3 MILK (L),4 SUCRE (M)
3 MILK (M),4 SUCRE (P)
3 MILK (S),4 SUCRE (TG)
3 MILK (XL),40 morceaux de Poulet McCroquettes (portion pour 4)
3 Mini Potato Hash Browns,40 Poulet McCroquettes
3 Oat Beverage,6 Biscuits douceur
3 Splenda,6 biscuits OMRM
3 SPLENDA (L),6 Danois
3 SPLENDA (M),6 Mccroq et côte
3 SPLENDA (S),6 McCroquettes
3 SPLENDA (XL),6 muffins assortis
3 Sugar,6 muffins au choix
3 SUGAR (L),6 muffins cuits au four assort
3 SUGAR (M),6 muffins cuits au four assortis
3 SUGAR (S),6 muffins cuits au four assortis
3 SUGAR (XL),6 muffins cuits au four au choix
4 Can Dine,6 Poulet McCroquettes
4 Chicken McNuggets,8 bouchées de patates hachées
4 Cream,8 bouchées de patates hachées brunes
4 CREAM (L),À-Côte
4 CREAM (M),À-côté
4 CREAM (S),À-Côté
4 CREAM (XL),accessoires
4 McNug & Cookies,AHA Lime Pastèque Eau pétillan
4 McNuggets,AHA Lime Pastèque Eau pétillante
4 McNuggets Offer,Aîné
4 McNuggets VM,Aîné chocolat chaud en sachet
4 Milk,Aîné Coca-Cola
4 MILK (L),Aîné Coca-Cola Zero
4 MILK (M),Aîné Coke Diète
4 MILK (S),Aîné Fruitopia fraises
4 MILK (XL),Aîné Fruitopia orange
4 Mini Potato Hash Browns,Aîné Racinette Barq's
4 Oat Beverage,Aîné Sprite
4 Splenda,Ajouter eau chaude
4 SPLENDA (L),Americano
4 SPLENDA (M),Asiago et Bacon ***
4 SPLENDA (S),Assaisonnement
4 SPLENDA (XL),Assaisonnement à l'ail
4 Sugar,Aucun accessoire
4 SUGAR (L),Aucun couvercle à boisson froi
4 SUGAR (M),Aucun couvercle à boisson froide
4 SUGAR (S),Authentique Croissant Francais
4 SUGAR (XL),Authentique Croissant Francais avec Fromage
40-piece Chicken McNuggets,Autre receipt
40-piece Chicken McNuggets (Serves 4),Autres boissons
6 Baked Muffins Assorted,Autres boissons chaudes
6 Caring Cookies,Autres boissons froides
6 Chicken McNuggets,Autres collations
6 McNugget,Autres collations et à-côtés
6 McNugget Extra Value Meal,Autres condiments
6 McNuggets,Autres hamburgers
6 McNuggets & Side Deal,Autres sandwichs au poulet
6 McNuggets Extra Value Meal,Avec ustensiles
6 Muffins Assorted,Avec/pas ustensiles
6 RMHC Cookies,Bacon
6 Signature Danish,Bacon 2 tranches complètes
8 Mini Potato Hash Browns,Bacon de dos
Acai Blueberry Pom Vita Wate,Bacon McCrêp oe
Acai Blueberry Pomegranate Vitamin Water,Bacon McCrêpes avec œuf
Accessories,Bacon McCrêpes oeuf
ADB Bagel Type,Bacon McMuf oeuf
Add Hot Water,Bacon McMuffin avec œuf
Advantage Card,Bacon McMuffin oeuf
Affogato,Bacon McMuffin œuf et sauce à
AHA Lime Watermelon,Bacon McMuffin œuf et sauce à l’ail style Frank’s
AHA Lime Watermelon Sparkling Water,Bacon Oeuf McMuffin et phb duo
All Day Breakfast,Bag Bac Œuf et Gouda ***
Almond Beverage,Bag Bac oeuf Goud
Almond Milk,Bagel
Americano,Bagel ***
Americano Coffee,Bagel au bacon et guacamole
any McChicken Sandwich,Bagel b-oeuf  & 2PHB ***
Apple & Blueberry Cream Cheese,Bagel b-oeuf ***
Apple & Blueberry Cream Cheese Pies,Bagel b-oeuf & 2PHB ***
Apple & Salted Caramel Pie,Bagel b-oeuf & PHB ***
Apple Danish,Bagel Bacon & guacamole
Apple Juice,Bagel bla b-oeuf
Apple Pie Pairing,Bagel bla from crè
Apple Pie Special,Bagel blanc b-oeuf
Apple Slices,Bagel blanc fromcrèm
Apple Topping,Bagel BLT ***
Apples,Bagel BLT & PHB ***
Applewood Sauce,Bagel BLT plein-goût
Asiago & Bacon Chkn ***,Bagel BLT R ***
Asiago & Bacon Chkn EVM ***,Bagel BLT Tout
Asiago & Bacon Chkn LV ***,Bagel fromage
Asiago & Bacon Chkn RV ***,Bagel graines sésame avec bacon et œuf style béné
Asian Cashew Salad,Bagel graines sésame bac béné
Asian Sesame Fusion Salad,Bagel grains
Ask Me,Bagel grains bacon œuf béné
Authentique French Croissant w,Bagel lt oeuf ***
Authentique French Croissant with Cheese,Bagel LT oeuf ***
Avoidable Driver Wait Time Fee,Bagel lt oeuf & PHB ***
B-2fr Htck Brn Tst,Bagel multigBagel multigrains avec brains avec bacon et ouef
B-2fr Htck Brn Tst VM,Bagel multigrains avec bacon et œuf style béné
B-2fr Htck Wht Tst,Bagel nature
B-2fr Htck Wht Tst VM,Bagel Nature
B-Chsb Deluxe,Bagel nature avec bacon et oeuf
B-Egg Bagel,Bagel nature avec bacon et œuf
B-Egg Bagl VM,Bagel nature avec bacon et œuf style béné
B-Egg Guac Bagel***,Bagel nature avec oeuf et bacon
Bac Dbl Cheeseburger,Bagel nature avec oeuf et saucisse
Bac Deluxe Grilled Chicken,Bagel nature avec produit régulier fromage à la crème
Bac Egg Bagl VM,Bagel nature avec produit régulier fromage à la crème
Bacon 'n Egg Croissant,Bagel nature avec rég from crè
Bacon 'n Egg Croissant on Chee,Bagel nature avec régulier fromage à la crème
Bacon 'n Egg Croissant on Cheese Croissant,Bagel nature avec saucisse et oeuf
Bacon 'n Egg McMuffin,Bagel nature bacon et oeuf
Bacon 'N Egg McMuffin,Bagel nature BLT
Bacon 'N Egg McMuffin Extra Value Meal,Bagel nature BLT avec oeuf
Bacon 'n' Egg McMuffin,Bagel nature oeuf et bacon
Bacon 'n' Egg McMuffin Extra Value Meal,Bagel nature oeuf et saucisse
Bacon & Guacamole Bagel,Bagel nature prod rég from crè
Bacon Chsb Deluxe,Bagel nature saucisse et oeuf
Bacon Dbl Chsb,Bagel origin b-oeuf
Bacon Deluxe Grilled Chicken Sandwich,Bagel original
Bacon Deluxe Grilled Chicken Sandwich Extra Value Meal,Bagel Original BLT
Bacon Deluxe McCrispy,Bagel p-goût
Bacon Deluxe McCrispy Extra Value Meal,Bagel plein-goût
Bacon Double Cheeseburger,Bagel plein-goût avec bacon et œuf style béné
Bacon Double Cheeseburger Extra Value Meal,Bagel plein-goût avec produit régulier fromage à la crème
Bacon Egg Bagel ***,Bagel plein-goût bac oeuf béné
Bacon Egg McMuffin,Bagel plein-goût bacon et oeuf
Bacon Egg McMuffin & Hash Brown Deal,Bagel plein-goût BLT avec oeuf
Bacon Egg McMuffin & HB Deal,Bagel plein-goût rég from crèm
Bacon McWrap Grilled,Bagel plein-goût sauc et oeuf
Bacon Pieces,Bagel plein-goût saucisse et oeuf
Bacon Strip,Bagel R ***
Bacon Strips,Bagel Sandwichs
"Bacon, Egg & Cheese McGriddles",Bagel sésa avec bacon et oeuf
"Bacon, Egg & Cheese McGriddles Extra Value Meal",Bagel sésa avec oeuf et bacon
Bag,Bagel sésa avec oeuf et saucisse
Bag B-Egg Gouda,Bagel sésa avec saucisse et oeuf
Bag B-Egg Gouda VM,Bagel sésa bacon et oeuf
Bag Fee (2 Bags),Bagel sésa BLT avec oeuf
Bag Selection,Bagel sésa oeuf et bacon
Bagel,Bagel sésa oeuf et saucisse
Bagel ***,Bagel sésa saucisse et oeuf
Bagel & Soup,Bagel sésame avec bacon et œuf style béné
Bagel Bacon Egg EVM,Bagel sésame avec fromage à la crème original
Bagel Bacon Egg Guac EVM,Bagel sésame avec régulier fro
Bagel Crm Chs with Soup,Bagel sésame avec régulier fromage à la crème
Bagel Plain,Bagel sésame BLT
Bagel Plain VM,Bagel sésame from crème orig
Bagel Sandwich,Bagels
Bagel Sandwiches,Bagels et tartinades
Bagel Sausage Egg EVM,"Bagels grillés, etc."
Bagel Type,Bagels-matin
Bagel with Butter,Barbotines
Bagel with Cream Cheese,Bâtonnets
Bagels,Bâtons des étoiles de la LNH
Bagels & Spreads,Beurre
Bagl ***,Beurre arachide avec couteau
Bagl B-Egg EVM ***,Beurre avec couteau
Bagl B-Egg VM ***,Beurre d'arachide
Bagl Bac Egg 'N Gouda,Bien grillé
Bagl Bac Egg 'N Gouda VM,Big Mac
Bagl Bac Egg VM ***,Big Mac - repas Bâtons des étoiles de la LNH
Bagl Bacon Egg  ***,Big Mac (sans viande)
Bagl Bacon Egg ***,Big Mac enfant
Bagl BLT ***,Big Mac et côte
Bagl BLT EVM ***,"Big Mac, sans viande"
Bagl BLT VM ***,Billet hockey
Bagl Bny B-Egg  VM ***,Biscuit arc-en-ciel
Bagl Bny B-Egg VM ***,Biscuit aux morceaux de chocol
Bagl Bny Bacon Egg  ***,Biscuit aux morceaux de chocolat
Bagl Bny Bacon Egg ***,Biscuit s'mores
Bagl Crm Chs VM,Biscuits
Bagl Egg BLT ***,Biscuits douceur
Bagl Egg BLT EVM ***,Bist Thaïe m frites ***
Bagl Egg BLT VM ***,Blanc 250ml de lait
Bagl Egg LT ***,Blanc d'oeuf
Bagl Egg LT EVM ***,Bleuets
Bagl Egg LT VM ***,BLT poulet ***
Bagl Egg LT***,Boisson
Bagl Plain ***,Boisson à l’avoine
Bagl R ***,Boisson café chaude specialite
Bagl Sau Egg ***,Boisson d'amande
Bagl Sau Egg VM ***,Boisson fontaine
Bagl w/ CC ***,Boisson Latte/Cappuccino
Bagl w/ CC VM ***,Boisson McCafé chaude
Bagl w/ R/CC Smk Slmn,Boisson McCafé Chaude
Bagl w/ Spreads,Boisson Splash fraîcheur
Bagl w/ Spreads ***,Boissons chaudes
Bagl w/Cream Chs,Boissons de fontaine
Bags,Boissons en bouteille
Baked Apple Pie,Boissons en bouteille
Baked Blueberry Cream Cheese Pie,Boissons fontaine - enfant
Baked Muffins,Boissons froides
Baked Pies,Boissons Splash fraîcheur
Baked Salted Caramel Pie,Boîte à café
Bakery,Boîte à café (pour 12 pers.)
Bakery & Sweets & Treats,Boîte à décaf
Bakery Pairings,Boîte à décaf (pour 12 pers.)
Banana Chocolate Chunk Muffin,Boîte à partager (2 personnes)
Barbeque Sauce,Boîte à partager (pour 2 personnes)
Barq's Root Beer,Boîte à partager 20 McCroq
BBQ Sauce,Boîte à partager des Fêtes
Begel,Boîte à partager des Fêtes
Benny B-Egg Bagl VM,Boîte à partager des Fêtes avec chaussons
Benny B-Egg Bgl VM ***,Bouchées de patates du Grincheux
Benny Bacon Egg Bagel ***,Bout consignée
Benny-Style Bacon ‘N Egg Evry,Bouteille
Benny-Style Bacon ‘N Egg Mgrn,Bouteille au miel
Benny-Style Bacon ‘N Egg Plain,Bouteille consignée
Benny-Style Bacon ‘N Egg Sesam,Bouteille d'eau
Bergamia Grey Tea,Bouteille d'eau DASANI
Berry McPops,Bouteille de lait 1%
Big Arch,Bouteille de lait 1% au choco
Big Breakfast,Bouteille de lait 1% au chocolat
Big Mac,Bouteille de Sprite
Big Mac - NHL Star Sticks Meal,Brioche à la cannelle
Big Mac (No Meat),Brunch
Big Mac (No Meat) Extra Value Meal,Burrito-matin
Big Mac & Side Deal,Burritos-matin
Big Mac Extra Value Meal,Café frappé
Big Mac Offer,Café frappé + crème fouettée + coulis au choc.
Big Mac Sauce,Café glacé
"Big Mac, No Meat",Café glacé à la vanille
Bistro Sandwiches,Café glacé au caramel
Black,Café glacé avec boisson à l'avoine
Black & White Sesame Bun,Café glacé avec sirop sans sucre
Black & White Sesame Seed Bun,Café infusé
Black Bean Salad,Café infusé à froid
Block Party GC,Café infusé à froid avec sirop sans sucre et crème
Block Party Gift Certs,Café infusé à froid caramel et crème
BLT Bagel,Café infusé à froid sucré avec boisson à l'avoine
BLT Bagl VM,Café infusé à froid sucré avec crème
BLT Chicken ***,Café infusé à froid vanille française et crème
Blue Raspberry Sprite With Cold Foam,Café infusé aînés
Blue Raspberry Syrup,Café infusé décaféiné
Blue Stainless Bottle,Café infusé décaféiné aînés
Blueberries,Café infusé et thé
Blueberry,Café surcharge
Blueberry Cream Cheese Pie,Café tg surcharge
Blueberry Muffin,Café/thé
Blueberry Pomegranate Real Fruit Smoothie,Café/Thé
Blueberry Pomegranate Smoothie,Canette consignée
Book,Canneberges & orange (contient maintenant du soja)
Book or Toy,Cappuccino
Bottle Deposit,Cappuccino (lait 2%)
Bottled Beverages,Cappuccino (lait aux amandes)
Bottled Drink,Cappuccino (lait d'amande)
Bottled Water,"Cappuccino, format moyen (lait aux amandes)"
Breakfast Bundle for 4,"Cappuccino, grand format (lait aux amandes)"
Breakfast Bundle for 4 (Serves 4),"Cappuccino, petit format (lait aux amandes)"
Breakfast Burrito,Caramel
Breakfast Burritos,Caramel poudre
Breakfast Menu,Carottes et concombres
Breakfast Poutine,Carottes râpées
Breakfast Sandwich,Carte avantage
Breakfast Sandwiches,Carte cadeau 10$
Breakfast Wraps & Burritos,Carte cadeau 20$
Brewed Coffee & Tea,Carte cadeau 25$
Brewed Iced Tea,Carte cadeau 5$
Brie Cheese,Carte cadeau 50$
Brown Toast,CC Saint-Valentin
Brown Toast Special,CC St-Valentin
Brunch,Certif Block Party
Bubble Heart Mug,Certif Halloween
Buffalo Chicken Snack Wrap,Certificat Block Party
Buffalo Crispy Snack Wrap,Certificat Halloween
Buffalo Grilled Snack Wrap,Chai frappé à la vanille
Buffalo Sauce,Chai frappé à la vanille
Buffalo SnackWrap® w/ Grilled Chicken McValue Meal,Chai frappé van. + cr. fouettée + coulis au choc.
Bun,Charge fête
Bundles and Sharing,Chaussettes
Burgers,Chausson au caramel salé cuit
Burnt Sugar Topping,Chausson au caramel salé cuit au four
Burrito Mix,Chausson aux bleuets
Butter,Chausson aux bleuets et au fromage à la crème cuit au four
Butter Packet,Chausson aux pommes
Butter with knife,Chausson aux pommes cuit au four
"Buy One, Get One Free*",Chausson pommes
C Water,Chaussons cuits au four
Caesar Dressing,Chaussons pommes et caramel sa
Caesar Entrée Salad,Chaussons pommes et caramel salé
Caesar McWrap Grilled Chicken,Chaussons pommes/bleuets et fr
Caesar McWrap with Grill Chick,Chaussons pommes/bleuets et fromage à la crème
Caesar Signature McWrap with Grilled Chicken,Cheddar naturel
Caesar Signature McWrap with Grilled Chicken Extra Value Meal,Child Cup
Caesar Veggie Mix,Chips tortillas
Café Sandwiches,Chocolat
Cajun Aioli Sauce,Chocolat chaud
Cajun McWrap Grilled Chicken,Chocolat chaud
Cajun McWrap with Grill Chick,Chocolat chaud  (lait 2%)
Cajun Ranch McWrap,Chocolat chaud (lait 2%)
Cajun Ranch McWrap Value Meal,Chocolat chaud (lait aux amandes)
Cajun Signature McWrap with Grilled Chicken,Chocolat chaud en sachet
Cajun Signature McWrap with Grilled Chicken Extra Value Meal,Chocolat chaud gourmet
Can Deposit,Chocolat chaud L
Canada Stainless Cup,"Chocolat chaud, format moyen (lait aux amandes)"
Canadian Back Bacon,"Chocolat chaud, grand format (lait aux amandes)"
Cappuccino,"Chocolat chaud, petit format (lait aux amandes)"
Cappuccino (2% Milk),Choisir À-Côté Joyeux Festin
Cappuccino (Almond Milk),Choisir bagel
Carafe Item,Choisir biscuits
Caramel,Choisir boisson chaude
Caramel Cheesecake McFlurry,Choisir boisson Joyeux Festin
Caramel Cream Cold Brew,Choisir boisson McCafe
Caramel Iced Coffee,Choisir boisson/s
Caramel Latte (2% Milk),Choisir boisson/s M
Caramel Latte (Almond milk),Choisir café
Caramel Latte (Almond Milk),Choisir café/déca
Caramel Powder,Choisir café/thé
Caramel Sundae,Choisir Carafe
Caramel Syrup,Choisir chaussons
Caramelized Onions,Choisir Côte
Caring Cookies,Choisir croissants
Carolina BBQ Sauce,Choisir des frites
Carrier Mug,Choisir DTJ Bagel
Carrot and Cucumber,Choisir Joyeux Festin
Carrot Muffin,Choisir MacPoulet au choix à X
Ceramic Mug,Choisir MacPoulet au choix à X$
Chai Cardamom Tea Latte (2% Milk),Choisir McFlurry
Chai Cardamom Tea Latte (Almond Milk),Choisir mini-vienn
Chai Glow Tea,Choisir muffins
Cheese,Choisir p café
Cheese Bagel,Choisir petit café
Cheese Bagl w/ Spreads,Choisir sandwich
Cheese Bagl w/ Spreads ***,Choisir Sandwich
Cheese Croissant,Choisir sandwich bagel
Cheese Curds,Choisir sandwich Bagel
Cheese Sauce,Choisir sandwich McMuffin
Cheeseburger,Choisir sauce tartare
Cheeseburger Deluxe,Choisissez vos 2 McPops
Cheeseburger Deluxe Extra Value Meal,Choisissez vos 6 McPops
"Cheeseburger, No Meat",Classique
Cheesecake Pieces,Classique
Cheesy Sauce,Classique McFlurry Gâteau au fromage et caramel
Chewy Chocolate Chunk Cookie,Classique McFlurry Gâteau au fromage et chocolat fondant
CHF ATTRACT PROMO 5,Classique McFlurry Gâteau au fromage et Oreo
Chicken & Bacon McWrap,Classique McFlurry Oreo
Chicken & Bacon McWrap Extra Value Meal,Classique McFlurry Skor
Chicken & Bacon McWrap with Crispy Chicken,Classique McFlurry Smarties
Chicken & Bacon McWrap with Crispy Chicken Extra Value Meal,Coca Fraises et Crème avec mousse froide
Chicken & Bacon McWrap with Grilled Chicken,Coca-Cola
Chicken & Bacon McWrap with Grilled Chicken Extra Value Meal,Coca-Cola Zero
Chicken & Bacon Signature McWrap with Grilled Chicken Extra Value Meal,Coca-Cola zéro
Chicken & Fish,Coca-Cola zéro sucre
Chicken Big Mac,Coke
Chicken Breakfast Wrap,Coke Diète
Chicken Breakfast Wrap Extra Value Meal,Coke Syrup
Chicken McGriddle,Coke Zero Syrup
Chicken McGriddle Extra Value Meal,Collation
Chicken McGriddle or McMuffin Sandwich,Collation McFlurry Gâteau au fromage et caramel
Chicken McGriddle/McMfn,Collation McFlurry Gâteau au fromage et chocolat fondant
Chicken McGriddles,Collation McFlurry Gâteau au fromage et Oreo
Chicken McMuffin,Collation McFlurry Oreo
Chicken McMuffin Extra Value Meal,Collation McFlurry Skor
Chicken Nacho Poutine with Crispy Chicken,Collation McFlurry Smarties
Chicken Nacho Poutine with Grilled Chicken,Collation sur le pouce
Chicken Patty,Collations et à-côtés
Chicken Snack Wrap with Crispy Chicken,Commande remise
Chicken Snack Wrap with Grilled Chicken,Concombre
Chickpea & Edamame Salad,Condiments
Child Chocolate Shake,Condiments à côté
Child Clear Cup,Confiture avec couteau
Child Cup,Confiture Double fruit
Child Cup FS,Consigne jus
Child Size,Consigne lait
Child Size Barq's Root Beer,Cornet à la vanille
Child Size Chocolate Shake,Cornet vanille
Child Size Coca-Cola,Cornichons
Child Size Coke,Côte
Child Size Coke Zero,Coulis de chocolat
Child Size Diet Coke,Coupé en deux
Child Size Fruitopia Orange,Coupe gl caramel
Child Size Fruitopia Strawberry,Coupe gl chocolat
Child Size Fuze Iced Tea,Coupe glacé
Child Size FUZE Iced Tea,Coupe glacée à l'espresso
Child Size NESTEA Iced Tea,Coupe glacée au caramel
Child Size Soft Drinks,Coupe glacée au caramel fondant
Child Size Sprite,Coupe glacée au chocolat
Child Size Strawberry Shake,Coupe glacée au chocolat fondant
Child Size Vanilla Shake,Coupe glacée aux caramel
Child Soft Drinks,Coupe glacée caramel
Child Strawberry Shake,Coupe glacée chocolat
Child Vanilla Shake,Coupes glacées et cornet
Chili Lime Glaze,Coupon Local
Chocolate Brownie Muffin,Couteaux
Chocolate Cheesecake McFlurry,crème
Chocolate Chip Muffin,Crème
Chocolate Drizzle,Crème fouettée
Chocolate Hazelnut Iced Latte (2% Milk),Crème fouettée et coulis de ch
Chocolate Hazelnut Latte (2% Milk),Crème fouettée et coulis de chocolat
Chocolate Milk,Crêpes
Chocolate Milk Bottle,Crêpes
Chocolate Triple Thick Milkshake,Crêpes et bacon
Cilantro Lime Sauce,Crêpes et saucisse
Cinnamon Swirls,Crêpes ML
Classic Ranch,"Crêpes, collations et à-côtés"
Coca Cola,Croissant
Coca-Cola,Croissant au fromage
Coca-Cola Glass,Croissant dinde et cheddar BLT
Coca-Cola Pin,Croissant français authentique
Coffee  L Upcharge,Croissant français authentique avec bacon et œuf
Coffee Bag Gift Basket,Croissant LT avec œuf
Coffee Frappé,Croissant/Mini-viennoiseries
Coffee Frappé w/ Whipped Cream & Choc Drizzle,Croissants sandwichs
Coffee L Upcharge,Croustade
Coffee or Tea,Cuillères
Coffee XL Upcharge,Danoise aux pommes
Coffee/Decaf,Danoises Signature
Coffee/Tea Only,Dans un verre
Coke,Dbl Dbl
Coke Syrup,Dbl h-from (GCM)
Coke Syrup CS,Dbl h-from comme Mac
Coke Zero,Dbl h-fromage LT
Coke Zero Can,Dbl hamb fromage LT
Coke Zero Sugar Can,DBL Quart de livre avec bacon
Coke Zero Syrup,DBL Quart de livre avec bacon et oignons croust.
Cold Brew,Déjeuner toute la journée
Cold Brew with Sugar-Free Syrup & Cream,Déjeuner traditionnel et 1 pat hach brun
Cold Drinks,Déjeuner traditionnel et PHB
Cold Reusable Cup,Demandez-moi
Condiments,Demi crème
Cookies,Demi déca infusé
Cookies,Demi Filet de poisson
Courier Tip,Demi glace
Couscous,Demi lait
Couscous Salad,Demi splenda
Cranberry & Orange Muffin,Demi Splenda
Cranberry Orange Muffin,Demi sucre
Cranberry Orange Muffin (Now contains soy),Dessert
Cranberry Packet,Deux McFlurry collation
Cranberry Sauce,"Deux McFlurry, classique 6 $"
Cream,"Deux McFlurry, format classique, pour 6$"
Cream Cheese,"Deux McFlurry, format collation, pour 5$"
Cream Cheese Icing,Deux pour le prix d'un*
Cream Chs On Side,Deux Trios ordinaire
Cream Packet,Diet Coke Syrup
Creamy Avocado Ranch McWrap,Dinde
Creamy Avocado Ranch McWrap,Don 1 $
Creamy Chipotle McWrap,Don à la Maison Ronald McDonal
Creamy Chipotle McWrap Extra Value Meal,Don à la Maison Ronald McDonald
Creamy Chipotle McWrap with Crispy Chicken,Donner à l’OMRM $3
Creamy Chipotle McWrap with Crispy Chicken Extra Value Meal,Donner à l’OMRM $5
Creamy Chipotle McWrap with Grilled Chicken,Double Big Mac
Creamy Chipotle McWrap with Grilled Chicken Extra Value Meal,Double double
Creamy Chipotle Sauce,Double espresso
Creamy Dijon Mustard,Double extra fromagé
